Country,Position,Account,Artist,Link,Category,Followers,Audience Country,Authentic engagement,Engagement avg,Scraped
All,542,coldplay,Coldplay,https://www.instagram.com/coldplay/,Music,14800000,Brazil,275100,383500,2/7/2022 16:50
All,544,shreyaghoshal,shreyaghoshal,https://www.instagram.com/shreyaghoshal/,Music,23400000,India,216900,241100,2/7/2022 16:50
All,558,litkillah,MAWZ💬,https://www.instagram.com/litkillah/,Music,6700000,Argentina,614200,810400,2/7/2022 16:50
All,562,quavohuncho,QuavoHuncho,https://www.instagram.com/quavohuncho/,Music,20700000,United States,154200,254400,2/7/2022 16:50
All,578,wizkhalifa,Wiz Khalifa,https://www.instagram.com/wizkhalifa/,Music|Art|Artists,35100000,India,103100,145400,2/7/2022 16:50
All,579,alok,Alok,https://www.instagram.com/alok/,Music|Art|Artists,26700000,Brazil,148500,191100,2/7/2022 16:50
All,583,teyanataylor,Jimmy Neutch- Shumpert,https://www.instagram.com/teyanataylor/,Music,14400000,United States,205100,347900,2/7/2022 16:50
All,586,yugyeom,KYUM,https://www.instagram.com/yugyeom/,Music|Art|Artists|Cinema|Actors/actresses,10700000,Thailand,362800,471100,2/7/2022 16:50
All,595,thenewclassic,Iggy Azalea,https://www.instagram.com/thenewclassic/,Music,15700000,United States,190400,307500,2/7/2022 16:50
All,597,wesleysafadao,Wesley Safadão,https://www.instagram.com/wesleysafadao/,Music,36100000,Brazil,81800,133700,2/7/2022 16:50
All,598,nickjonas,Nick Jonas,https://www.instagram.com/nickjonas/,Music|Art|Artists,32200000,United States,104500,147400,2/7/2022 16:50
All,601,wizkidayo,BIG WIZ🦅,https://www.instagram.com/wizkidayo/,Music,13900000,Nigeria,181500,350600,2/7/2022 16:50
All,616,aidanrgallagher,Aidan R Gallagher,https://www.instagram.com/aidanrgallagher/,Music,7200000,Mexico,535900,646700,2/7/2022 16:50
All,618,cazzu,♡ 𝖓𝖊𝖓𝖆 ᴛʀᴀᴍᴘᴀ,https://www.instagram.com/cazzu/,Music,9700000,Argentina,367800,471300,2/7/2022 16:50
All,632,trueno,TR1 ⛈,https://www.instagram.com/trueno/,Music,6700000,Argentina,429900,668900,2/7/2022 16:50
All,641,djsnake,djsnake,https://www.instagram.com/djsnake/,Music,9100000,India,409800,486800,2/7/2022 16:50
All,647,hztttao,Z.TAO🔴黄子韬,https://www.instagram.com/hztttao/,Music,11200000,Indonesia,346300,384700,2/7/2022 16:50
All,650,avicii,Avicii,https://www.instagram.com/avicii/,Music|Art|Artists,6900000,United States,436400,640900,2/7/2022 16:50
All,651,bumkeyk,SHINee KEY,https://www.instagram.com/bumkeyk/,Music,8900000,Indonesia,409700,490700,2/7/2022 16:50
All,655,jaybnow.hr,LIM JAE BEOM,https://www.instagram.com/jaybnow.hr/,Music,6500000,Brazil,496700,647600,2/7/2022 16:50
All,656,leighannepinnock,Leigh-Anne Pinnock,https://www.instagram.com/leighannepinnock/,Music,8300000,Brazil,358600,511200,2/7/2022 16:50
All,657,arcangel,"HONOR,LEALTAD Y RESPETO.",https://www.instagram.com/arcangel/,Music,12500000,United States,197100,334400,2/7/2022 16:50
All,658,bclsinclair,Bunga Citra Lestari,https://www.instagram.com/bclsinclair/,Music,19800000,Indonesia,133100,209800,2/7/2022 16:50
All,661,belindapop,Beli,https://www.instagram.com/belindapop/,Music,14600000,Mexico,196800,282100,2/7/2022 16:50
All,664,aliciakeys,Alicia Keys,https://www.instagram.com/aliciakeys/,Music,22600000,United States,134900,180200,2/7/2022 16:50
All,670,egorkreed,Егор Крид | #HeartBreakKid,https://www.instagram.com/egorkreed/,Music,14700000,Russia,221800,272000,2/7/2022 16:50
All,677,wos.ds3,Valentín Oliva,https://www.instagram.com/wos.ds3/,Music,6300000,Argentina,413800,633000,2/7/2022 16:50
All,680,tiwasavage,Tiwa Savage ⚔️,https://www.instagram.com/tiwasavage/,Music,14400000,Nigeria,154900,274300,2/7/2022 16:50
All,728,joshu_acoustic,Joshua Hong,https://www.instagram.com/joshu_acoustic/,Music,3800000,,0,969200,2/7/2022 16:50
All,729,martingarrix,Martin Garrix,https://www.instagram.com/martingarrix/,Music,15500000,Mexico,164400,231800,2/7/2022 16:50
All,731,wayvofficial,WayV,https://www.instagram.com/wayvofficial/,Music,6800000,Indonesia,452300,538900,2/7/2022 16:50
All,736,smtown,SM Entertainment Group,https://www.instagram.com/smtown/,Music,13300000,Indonesia,222100,268400,2/7/2022 16:50
All,737,emiliamernes,ΣMILIΔ,https://www.instagram.com/emiliamernes/,Music,4400000,Argentina,437400,823200,2/7/2022 16:50
All,747,mohamedramadanws,Mohamed Ramadan,https://www.instagram.com/mohamedramadanws/,Music,19900000,Egypt,129300,179000,2/7/2022 16:50
All,752,nodal,Christian Nodal 🇲🇽 🌵💚,https://www.instagram.com/nodal/,Music,7900000,Mexico,306400,450100,2/7/2022 16:50
All,753,kevinho,KEVINHO,https://www.instagram.com/kevinho/,Music,28200000,Brazil,88800,124000,2/7/2022 16:50
All,760,thegirljt,JT🦋,https://www.instagram.com/thegirljt/,Music,5000000,United States,255900,700400,2/7/2022 16:50
All,764,ashanty_ash,Ashanty,https://www.instagram.com/ashanty_ash/,Music,27800000,Indonesia,97700,121900,2/7/2022 16:50
All,765,pocah,POCAH,https://www.instagram.com/pocah/,Music,15600000,Brazil,91700,217300,2/7/2022 16:50
All,785,kevinroldankr,KR ♛,https://www.instagram.com/kevinroldankr/,Music,10100000,Mexico,200200,324200,2/7/2022 16:50
All,794,xuminghao_o,The8 디에잇,https://www.instagram.com/xuminghao_o/,Music,4200000,Indonesia,611300,771300,2/7/2022 16:50
All,800,maudyayunda,Maudy Ayunda,https://www.instagram.com/maudyayunda/,Music,15200000,Indonesia,140000,206400,2/7/2022 16:50
All,805,morgen_shtern,НЕ МОРГЕНШТЕРН,https://www.instagram.com/morgen_shtern/,Music,7900000,Russia,324100,401700,2/7/2022 16:50
All,806,hyeri_0609,혜리,https://www.instagram.com/hyeri_0609/,Music,6900000,South Korea,381100,459000,2/7/2022 16:50
All,817,bigsean,BIGSEAN,https://www.instagram.com/bigsean/,Music|Art|Artists,14300000,United States,117300,214700,2/7/2022 16:50
All,828,jheneaiko,Jhené Aiko Efuru Chilombo 🔮,https://www.instagram.com/jheneaiko/,Music,13700000,United States,124400,217900,2/7/2022 16:50
All,836,wilbursoot,Wilbur Soot,https://www.instagram.com/wilbursoot/,Music,3200000,United States,733800,942600,2/7/2022 16:50
All,838,anyageraldine,anya geraldine,https://www.instagram.com/anyageraldine/,Music,10200000,Indonesia,171000,286300,2/7/2022 16:50
All,843,littlemix,Little Mix,https://www.instagram.com/littlemix/,Music,15300000,Brazil,141100,189600,2/7/2022 16:50
